@RELATION activityRelation

@ATTRIBUTE orientation numeric
@ATTRIBUTE soundPredictionResult numeric
@ATTRIBUTE wifiPredictionResult numeric
@ATTRIBUTE hour numeric
@ATTRIBUTE activity {Bathroom,Midnightsnack,Cooking,Lunch,Dinner,Chopping,Washinginbathroom,Washingdishes,Breakfast}

@DATA
0,0,4,22,Midnightsnack
0,0,4,22,Midnightsnack
0,0,4,22,Midnightsnack
7,0,4,23,Midnightsnack
7,0,4,23,Midnightsnack
7,0,4,23,Midnightsnack
7,0,4,23,Midnightsnack
7,18,4,21,Midnightsnack
7,18,4,21,Midnightsnack
7,5,4,22,Midnightsnack
1,5,4,22,Midnightsnack
7,8,4,23,Midnightsnack
7,8,4,23,Midnightsnack
7,7,4,23,Midnightsnack
7,7,4,23,Midnightsnack
7,5,4,00,Midnightsnack
7,5,4,00,Midnightsnack
0,7,4,00,Midnightsnack
7,7,4,00,Midnightsnack
0,6,4,22,Midnightsnack
0,6,4,22,Midnightsnack
0,6,4,22,Midnightsnack
0,6,4,22,Midnightsnack
0,15,4,22,Midnightsnack
0,15,4,22,Midnightsnack
1,?,4,00,Midnightsnack
1,?,4,00,Midnightsnack
0,?,4,00,Midnightsnack
0,?,4,00,Midnightsnack
0,?,4,00,Midnightsnack
0,?,4,00,Midnightsnack
7,5,4,00,Midnightsnack
7,5,4,00,Midnightsnack
7,?,4,00,Midnightsnack
7,?,4,00,Midnightsnack
7,6,4,00,Midnightsnack
7,6,4,00,Midnightsnack
7,14,4,23,Midnightsnack
7,2,4,23,Midnightsnack
7,2,4,23,Midnightsnack
0,?,4,13,Lunch
0,?,4,13,Lunch
0,6,4,12,Lunch
0,6,4,12,Lunch
0,8,4,12,Lunch
0,8,4,12,Lunch
0,15,4,12,Lunch
0,15,4,12,Lunch
7,1,4,13,Lunch
7,1,4,13,Lunch
7,8,4,12,Lunch
7,8,4,12,Lunch
7,1,4,12,Lunch
7,1,4,12,Lunch
0,15,4,12,Lunch
0,15,4,12,Lunch
0,0,4,18,Lunch
0,0,4,18,Lunch
0,?,4,14,Lunch
1,?,4,14,Lunch
0,6,4,12,Lunch
0,6,4,12,Lunch
0,6,4,12,Lunch
0,6,4,12,Lunch
0,?,4,12,Lunch
0,2,4,12,Lunch
0,?,4,12,Lunch
0,?,4,12,Lunch
0,0,4,12,Lunch
0,0,4,12,Lunch
7,0,4,12,Lunch
7,0,4,13,Lunch
0,14,4,13,Lunch
0,14,4,13,Lunch
7,0,4,11,Lunch
7,0,4,11,Lunch
7,0,4,12,Lunch
7,0,4,12,Lunch
7,0,4,12,Lunch
7,0,4,12,Lunch
0,0,4,11,Lunch
0,0,4,11,Lunch
0,0,4,11,Lunch
0,0,4,11,Lunch
7,0,4,12,Lunch
7,0,4,12,Lunch
7,0,4,12,Lunch
7,0,4,12,Lunch
7,6,4,11,Lunch
7,6,4,11,Lunch
7,15,4,11,Lunch
7,15,4,11,Lunch
7,6,4,12,Lunch
7,6,4,12,Lunch
1,2,4,12,Lunch
0,14,4,12,Lunch
0,14,4,12,Lunch
0,0,4,12,Lunch
0,0,4,12,Lunch
0,0,4,12,Lunch
0,0,4,12,Lunch
0,0,4,12,Lunch
0,0,4,12,Lunch
7,6,4,15,Lunch
7,6,4,15,Lunch
7,2,4,15,Lunch
7,2,4,15,Lunch
0,2,4,12,Lunch
0,2,4,12,Lunch
7,?,4,12,Lunch
7,?,4,12,Lunch
7,7,4,12,Lunch
7,7,4,12,Lunch
7,6,4,12,Lunch
0,6,4,12,Lunch
7,?,4,12,Lunch
7,?,4,12,Lunch
7,6,4,12,Lunch
7,6,4,12,Lunch
0,2,4,12,Lunch
0,2,4,12,Lunch
0,0,4,12,Lunch
0,0,4,12,Lunch
0,5,4,12,Lunch
0,5,4,12,Lunch
0,5,4,12,Lunch
0,5,4,12,Lunch
0,15,4,12,Lunch
0,15,4,12,Lunch
0,1,4,12,Lunch
0,1,4,12,Lunch
0,?,4,12,Lunch
0,?,4,12,Lunch
0,2,4,13,Lunch
0,2,4,13,Lunch
1,?,4,13,Lunch
0,?,4,13,Lunch
1,7,4,13,Lunch
1,7,4,13,Lunch
0,18,4,13,Lunch
0,18,4,13,Lunch
1,7,4,13,Lunch
1,7,4,13,Lunch
0,6,4,11,Lunch
0,6,4,11,Lunch
0,14,4,11,Lunch
0,14,4,11,Lunch
0,2,4,11,Lunch
0,2,4,11,Lunch
0,8,4,13,Lunch
0,8,4,13,Lunch
0,6,4,13,Lunch
0,6,4,13,Lunch
0,8,4,13,Lunch
7,8,4,13,Lunch
0,15,4,13,Lunch
0,15,4,13,Lunch
0,6,4,13,Lunch
0,6,4,13,Lunch
0,1,4,13,Lunch
0,1,4,13,Lunch
0,8,4,13,Lunch
0,8,4,13,Lunch
0,?,4,20,Dinner
0,?,4,20,Dinner
