@RELATION activityRelation

@ATTRIBUTE orientation numeric
@ATTRIBUTE soundPredictionResult numeric
@ATTRIBUTE wifiPredictionResult numeric
@ATTRIBUTE hour numeric
@ATTRIBUTE activity {Bathroom,Midnightsnack,Cooking,Cookingchopping,Lunch,Dinner,Washinginbathroom,Washingdishes,Breakfast}

@DATA
7,?,4,19,Dinner
7,?,4,19,Dinner
7,2,4,19,Dinner
7,2,4,19,Dinner
7,4,4,19,Dinner
7,4,4,19,Dinner
7,?,4,20,Dinner
7,?,4,20,Dinner
0,4,4,18,Dinner
0,4,4,18,Dinner
7,2,4,18,Dinner
7,2,4,18,Dinner
0,2,4,18,Dinner
0,2,4,18,Dinner
0,?,4,19,Dinner
0,?,4,19,Dinner
7,4,4,18,Dinner
7,4,4,18,Dinner
0,?,4,19,Dinner
0,?,4,19,Dinner
0,?,4,19,Dinner
0,?,4,19,Dinner
7,2,4,19,Dinner
0,2,4,19,Dinner
0,0,4,19,Dinner
0,2,4,19,Dinner
7,2,4,19,Dinner
0,4,4,18,Dinner
0,4,4,18,Dinner
0,4,4,18,Dinner
0,4,4,18,Dinner
0,4,4,19,Dinner
0,4,4,19,Dinner
0,4,4,19,Dinner
0,4,4,19,Dinner
0,4,4,19,Dinner
0,4,4,19,Dinner
0,4,4,19,Dinner
0,4,4,19,Dinner
0,4,4,21,Dinner
0,4,4,21,Dinner
0,4,4,21,Dinner
0,4,4,21,Dinner
0,4,4,22,Dinner
0,4,4,22,Dinner
0,4,4,22,Dinner
7,4,4,22,Dinner
7,2,4,16,Dinner
7,?,4,16,Dinner
7,?,4,16,Dinner
7,2,4,17,Dinner
0,2,4,17,Dinner
7,?,4,17,Dinner
7,?,4,17,Dinner
0,6,4,20,Dinner
0,6,4,20,Dinner
0,6,4,22,Dinner
7,6,4,22,Dinner
7,?,4,22,Dinner
7,?,4,22,Dinner
7,1,4,19,Dinner
7,1,4,19,Dinner
0,2,4,18,Dinner
0,2,4,18,Dinner
